run_id,protocol,control_csv,test_date_iso,condition_id,material_category,base_material,filler_material,weld_process,current_a,voltage_v,heat_input_kj_mm,shielding_gas,preheat_c,spacer_mm,sheet_thickness_mm,k_factor,v_high_mm_s,v_step_mm_s,a_dec_mm_s2,weld_start_method,weld_start_time_s,manual_load_rise_time_s,manual_load_to_start_delay_s,fixed_start_time_s,load_rise_delta_n,load_baseline_window_s,weld_end_time_s,weld_travel_speed_mm_s,speed_transition_weld_length_mm,deceleration_start_weld_length_mm,l_weld_mm,l_crack_mm,l_surf_mm,l_ct_mm,l_star,v_nc_mm_s,crack_state,load_increase_acceptance,include_in_summary,show_temperature,temperature_columns,notes,source_run_id,campaign_folder,raw_xml
2025_12_30_TMCA__B6F5SL_25,TMCA,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F5SL_25.csv,2026-01-05,AA6061_ER5356_180A,Aluminum alloy,AA6061,ER5356,GTAW,180,,,Ar,,3.6,,,0.5592045274149141,0.15,0.0022598828330552385,manifest,5.543297678,,,,,,,2.1,38.388000000000005,38.388000000000005,139.69200000000004,95.81199999999998,134.2,,,0.0480175921421005,,no,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F5SL_25,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F5SL_25.xml
2025_12_30_TMCA__B6F5SL_26,TMCA,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F5SL_26.csv,2026-01-05,AA6061_ER5356_180A,Aluminum alloy,AA6061,ER5356,GTAW,180,,,Ar,,3.6,,,0.5592123777041127,0.15,0.0022708675410977714,manifest,5.2458276155,,,,,,,2.1,38.976,38.976,139.734,102.16399999999999,141.14,,,0.0403531841090457,,almost,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F5SL_26,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F5SL_26.xml
2026_3_27_TMCA__B7F0SL_15,TMCA,data/control_csv/tmca_raw/2026_3_27_TMCA/B7F0SL_15.csv,2026-03-27,AA7075_Autogenous_160A,Aluminum alloy,AA7075,Autogenous,GTAW,160,,,Ar,,3.8,,,0.6390141399258696,0.3,0.004511906907176971,manifest,4.8799637097,,,,,,,2.1,32.739000000000004,32.739000000000004,139.67100000000002,118.161,150.9,,,0.047,,almost,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B7F0SL_15,2026_3_27_TMCA,raw_data/TMCA/2026_3_27_TMCA/B7F0SL_15.xml
2026_3_15_TMCA__B7F0SL_2,TMCA,data/control_csv/tmca_raw/2026_3_15_TMCA/B7F0SL_2.csv,2026-03-15,AA7075_Autogenous_180A,Aluminum alloy,AA7075,Autogenous,GTAW,180,,,Ar,,4.0,,,0.6389957645672235,0.3,0.004514833075599268,manifest,4.6909599931,,,,,,,2.1,33.117,33.117,139.734,114.78300000000002,147.9,,,0.0544791742039699,,no,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B7F0SL_2,2026_3_15_TMCA,raw_data/TMCA/2026_3_15_TMCA/B7F0SL_2.xml
2025_12_30_TMCA__B7F0SL_27,TMCA,data/control_csv/tmca_raw/2025_12_30_TMCA/B7F0SL_27.csv,2026-01-05,AA7075_Autogenous_180A,Aluminum alloy,AA7075,Autogenous,GTAW,180,,,Ar,,3.8,,,0.6390006378861034,0.3,0.004532690627034565,manifest,4.7239615133,,,,,,,2.1,33.075,33.075,139.73400000000004,117.825,150.9,,,0.0498275008804263,,no,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B7F0SL_27,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B7F0SL_27.xml
2025_12_30_TMCA__B7F0SL_28,TMCA,data/control_csv/tmca_raw/2025_12_30_TMCA/B7F0SL_28.csv,2026-01-05,AA7075_Autogenous_180A,Aluminum alloy,AA7075,Autogenous,GTAW,180,,,Ar,,3.8,,,0.6389983261355997,0.3,0.004533342480755628,manifest,4.9671057673,,,,,,,2.1,32.550000000000004,32.550000000000004,139.755,116.72,149.27,,,0.0497409663619248,,no,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B7F0SL_28,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B7F0SL_28.xml
2026_3_15_TMCA__B7F0SL_3,TMCA,data/control_csv/tmca_raw/2026_3_15_TMCA/B7F0SL_3.csv,2026-03-15,AA7075_Autogenous_180A,Aluminum alloy,AA7075,Autogenous,GTAW,180,,,Ar,,4.0,,,0.6389946348116039,0.3,0.00451891050270172,manifest,5.0375224534,,,,,,,2.1,32.403,32.403,139.81799999999998,114.39700000000002,146.8,,,0.0568676922537405,,yes,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B7F0SL_3,2026_3_15_TMCA,raw_data/TMCA/2026_3_15_TMCA/B7F0SL_3.xml
2026_3_15_TMCA__B7F0SL_4,TMCA,data/control_csv/tmca_raw/2026_3_15_TMCA/B7F0SL_4.csv,2026-03-15,AA7075_Autogenous_180A,Aluminum alloy,AA7075,Autogenous,GTAW,180,,,Ar,,4.0,,,0.6389927284229867,0.3,0.004524310333103589,manifest,5.0610676876,,,,,,,2.1,32.361,32.361,139.755,109.93900000000002,142.3,,,0.06424548792439,,yes,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B7F0SL_4,2026_3_15_TMCA,raw_data/TMCA/2026_3_15_TMCA/B7F0SL_4.xml
2026_3_15_TMCA__B7F0SL_5,TMCA,data/control_csv/tmca_raw/2026_3_15_TMCA/B7F0SL_5.csv,2026-03-15,AA7075_Autogenous_160A,Aluminum alloy,AA7075,Autogenous,GTAW,160,,,Ar,,4.0,,,0.6390014982404193,0.3,0.004545458794208554,manifest,4.825872712,,,,,,,2.1,32.823,32.823,139.75500000000002,105.477,138.3,,,0.0736041193500732,,yes,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B7F0SL_5,2026_3_15_TMCA,raw_data/TMCA/2026_3_15_TMCA/B7F0SL_5.xml
2026_3_15_TMCA__B7F0SL_6,TMCA,data/control_csv/tmca_raw/2026_3_15_TMCA/B7F0SL_6.csv,2026-03-15,AA7075_Autogenous_160A,Aluminum alloy,AA7075,Autogenous,GTAW,160,,,Ar,,4.0,,,0.6389970243755582,0.3,0.004543752772724047,manifest,5.126171604,,,,,,,2.1,32.214,32.214,139.776,126.286,158.5,,,0.0302383811703999,,no,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B7F0SL_6,2026_3_15_TMCA,raw_data/TMCA/2026_3_15_TMCA/B7F0SL_6.xml
2025_12_30_TMCA__B7F0SL_7,TMCA,data/control_csv/tmca_raw/2025_12_30_TMCA/B7F0SL_7.csv,2025-12-30,AA7075_Autogenous_160A,Aluminum alloy,AA7075,Autogenous,GTAW,160,,,Ar,,3.8,,,0.6389966366976549,0.3,0.004527119889158185,manifest,5.0838761499,,,,,,,2.1,32.298,32.298,139.776,117.40199999999999,149.7,,,0.0495908185042265,,no,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B7F0SL_7,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B7F0SL_7.xml
2026_3_15_TMCA__B7F0SL_7,TMCA,data/control_csv/tmca_raw/2026_3_15_TMCA/B7F0SL_7.csv,2026-03-15,AA7075_Autogenous_160A,Aluminum alloy,AA7075,Autogenous,GTAW,160,,,Ar,,4.0,,,0.6389982653830282,0.3,0.004539221593804416,manifest,5.0283296841,,,,,,,2.1,32.424,32.424,139.79700000000003,115.27599999999998,147.7,,,0.0510702319138251,,no,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B7F0SL_7,2026_3_15_TMCA,raw_data/TMCA/2026_3_15_TMCA/B7F0SL_7.xml
2025_12_30_TMCA__B7F0SL_8,TMCA,data/control_csv/tmca_raw/2025_12_30_TMCA/B7F0SL_8.csv,2025-12-30,AA7075_Autogenous_160A,Aluminum alloy,AA7075,Autogenous,GTAW,160,,,Ar,,3.8,,,0.6390011129229672,0.3,0.004521566710864169,manifest,5.2149533039,,,,,,,2.1,32.046,32.046,139.79700000000005,100.154,132.2,,,0.0825375873889013,,yes,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B7F0SL_8,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B7F0SL_8.xml
2025_12_30_TMCA__B7F0SL_9,TMCA,data/control_csv/tmca_raw/2025_12_30_TMCA/B7F0SL_9.csv,2025-12-30,AA7075_Autogenous_160A,Aluminum alloy,AA7075,Autogenous,GTAW,160,,,Ar,,3.8,,,0.6389988576458848,0.3,0.0045272705983185856,manifest,5.4081078557,,,,,,,2.1,31.625999999999998,31.625999999999998,139.79700000000003,97.57399999999998,129.2,,,0.0905258131271352,,yes,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B7F0SL_9,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B7F0SL_9.xml
2025_12_30_TMCA__B7F0SL_H_11,TMCA,data/control_csv/tmca_raw/2025_12_30_TMCA/B7F0SL_H_11.csv,2025-12-30,AA7075_Autogenous_160A,Aluminum alloy,AA7075,Autogenous,GTAW,160,,,Ar,,3.8,,,0.6390004169934387,0.3,0.004537806927923467,manifest,4.7759941521,,,,,,,2.1,32.928,32.928,139.818,119.27199999999999,152.2,,,0.0440211843592647,,yes,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B7F0SL_H_11,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B7F0SL_H_11.xml
2026_3_27_TMCA__B7F0SL_H_16,TMCA,data/control_csv/tmca_raw/2026_3_27_TMCA/B7F0SL_H_16.csv,2026-03-27,AA7075_Autogenous_160A,Aluminum alloy,AA7075,Autogenous,GTAW,160,,,Ar,,3.8,,,0.6390067665297404,0.3,0.004516897050934813,manifest,5.0931939693,,,,,,,2.1,32.298,32.298,139.734,119.90199999999999,152.2,,,0.044,,no,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B7F0SL_H_16,2026_3_27_TMCA,raw_data/TMCA/2026_3_27_TMCA/B7F0SL_H_16.xml
2026_3_27_TMCA__B7F0SL_H_17,TMCA,data/control_csv/tmca_raw/2026_3_27_TMCA/B7F0SL_H_17.csv,2026-03-27,AA7075_Autogenous_160A,Aluminum alloy,AA7075,Autogenous,GTAW,160,,,Ar,,3.8,,,0.6389963670515537,0.3,0.004531542239240734,manifest,4.9560556856,,,,,,,2.1,32.571,32.571,139.818,119.82900000000001,152.4,,,0.042,,yes,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B7F0SL_H_17,2026_3_27_TMCA,raw_data/TMCA/2026_3_27_TMCA/B7F0SL_H_17.xml
2026_3_15_TMCA__B7F5SL_10,TMCA,data/control_csv/tmca_raw/2026_3_15_TMCA/B7F5SL_10.csv,2026-03-15,AA7075_ER5356_180A,Aluminum alloy,AA7075,ER5356,GTAW,180,,,Ar,,4.0,,,0.6390044925792213,0.3,0.004529041161048544,manifest,5.0870229533,,,,,,,2.1,32.277,32.277,139.755,84.023,116.3,,,0.117752725210018,,no,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B7F5SL_10,2026_3_15_TMCA,raw_data/TMCA/2026_3_15_TMCA/B7F5SL_10.xml
