protocol,run_id_unique,source_run_id,test_date_iso,campaign_folder,raw_xml,control_csv,raw_xml_size_bytes
TMCA,2026_2_22_TMCA__B7F0SL_16,B7F0SL_16,2026-02-22,2026_2_22_TMCA,raw_data/TMCA/2026_2_22_TMCA/B7F0SL_16.xml,data/control_csv/tmca_raw/2026_2_22_TMCA/B7F0SL_16.csv,11780619
TMCA,2026_2_22_TMCA__B7F0SL_17,B7F0SL_17,2026-02-22,2026_2_22_TMCA,raw_data/TMCA/2026_2_22_TMCA/B7F0SL_17.xml,data/control_csv/tmca_raw/2026_2_22_TMCA/B7F0SL_17.csv,11372457
TMCA,2026_2_22_TMCA__TMCA_3,TMCA_3,2026-02-22,2026_2_22_TMCA,raw_data/TMCA/2026_2_22_TMCA/TMCA_3.xml,data/control_csv/tmca_raw/2026_2_22_TMCA/TMCA_3.csv,12071086
TMCA,2026_2_26_TMCA__B6F0SL_22,B6F0SL_22,2026-02-26,2026_2_26_TMCA,raw_data/TMCA/2026_2_26_TMCA/B6F0SL_22.xml,data/control_csv/tmca_raw/2026_2_26_TMCA/B6F0SL_22.csv,11775609
TMCA,2026_2_26_TMCA__B6F0SL_23,B6F0SL_23,2026-02-26,2026_2_26_TMCA,raw_data/TMCA/2026_2_26_TMCA/B6F0SL_23.xml,data/control_csv/tmca_raw/2026_2_26_TMCA/B6F0SL_23.csv,11762610
TMCA,2026_2_26_TMCA__B6F0SL_9,B6F0SL_9,2026-02-26,2026_2_26_TMCA,raw_data/TMCA/2026_2_26_TMCA/B6F0SL_9.xml,data/control_csv/tmca_raw/2026_2_26_TMCA/B6F0SL_9.csv,11790769
TMCA,2026_2_26_TMCA__B6F5SL_25,B6F5SL_25,2026-02-26,2026_2_26_TMCA,raw_data/TMCA/2026_2_26_TMCA/B6F5SL_25.xml,data/control_csv/tmca_raw/2026_2_26_TMCA/B6F5SL_25.csv,11769444
TMCA,2026_2_26_TMCA__B6F5SL_26,B6F5SL_26,2026-02-26,2026_2_26_TMCA,raw_data/TMCA/2026_2_26_TMCA/B6F5SL_26.xml,data/control_csv/tmca_raw/2026_2_26_TMCA/B6F5SL_26.csv,11781632
TMCA,2026_2_26_TMCA__B6F5SL_3,B6F5SL_3,2026-02-26,2026_2_26_TMCA,raw_data/TMCA/2026_2_26_TMCA/B6F5SL_3.xml,data/control_csv/tmca_raw/2026_2_26_TMCA/B6F5SL_3.csv,11780230
TMCA,2026_2_26_TMCA__test_2,test_2,2026-02-26,2026_2_26_TMCA,raw_data/TMCA/2026_2_26_TMCA/test_2.xml,data/control_csv/tmca_raw/2026_2_26_TMCA/test_2.csv,11764391
TMCA,2026_3_15_TMCA__B7F0SL_2,B7F0SL_2,2026-03-15,2026_3_15_TMCA,raw_data/TMCA/2026_3_15_TMCA/B7F0SL_2.xml,data/control_csv/tmca_raw/2026_3_15_TMCA/B7F0SL_2.csv,11784454
TMCA,2026_3_15_TMCA__B7F0SL_3,B7F0SL_3,2026-03-15,2026_3_15_TMCA,raw_data/TMCA/2026_3_15_TMCA/B7F0SL_3.xml,data/control_csv/tmca_raw/2026_3_15_TMCA/B7F0SL_3.csv,11778343
TMCA,2026_3_15_TMCA__B7F0SL_4,B7F0SL_4,2026-03-15,2026_3_15_TMCA,raw_data/TMCA/2026_3_15_TMCA/B7F0SL_4.xml,data/control_csv/tmca_raw/2026_3_15_TMCA/B7F0SL_4.csv,11771760
