run_id,protocol,control_csv,test_date_iso,condition_id,material_category,base_material,filler_material,weld_process,current_a,voltage_v,heat_input_kj_mm,shielding_gas,preheat_c,spacer_mm,sheet_thickness_mm,k_factor,v_high_mm_s,v_step_mm_s,a_dec_mm_s2,weld_start_method,weld_start_time_s,manual_load_rise_time_s,manual_load_to_start_delay_s,fixed_start_time_s,load_rise_delta_n,load_baseline_window_s,weld_end_time_s,weld_travel_speed_mm_s,speed_transition_weld_length_mm,deceleration_start_weld_length_mm,l_weld_mm,l_crack_mm,l_surf_mm,l_ct_mm,l_star,v_nc_mm_s,crack_state,load_increase_acceptance,include_in_summary,show_temperature,temperature_columns,notes,source_run_id,campaign_folder,raw_xml
10_2025_TMW__B7FT7SL4_8,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7FT7SL4_8.csv,2025-10-24,AA7075_7075TiC_180A,Aluminum alloy,AA7075,7075TiC,GTAW,180,,,Ar,,,,,,0.11,,manifest,12.266761469782454,,,,,,,2.1,,,,,,,0.032,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7FT7SL4_8,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7FT7SL4_8.xml
10_2025_TMW__B7FT7SL4_12,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7FT7SL4_12.csv,2025-10-24,AA7075_7075TiC_180A,Aluminum alloy,AA7075,7075TiC,GTAW,180,,,Ar,,,,,,0.11,,manifest,11.176282284485556,,,,,,,2.1,,,,,,,0.054,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7FT7SL4_12,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7FT7SL4_12.xml
10_2025_TMW__B7FT7SL8_13,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7FT7SL8_13.csv,2025-10-24,AA7075_7075TiC_180A,Aluminum alloy,AA7075,7075TiC,GTAW,180,,,Ar,,,,,,0.113,,manifest,12.080785410298512,,,,,,,2.1,,,,,,,1.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7FT7SL8_13,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7FT7SL8_13.xml
10_2025_TMW__B7FT7SL7_11,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7FT7SL7_11.csv,2025-10-24,AA7075_7075TiC_180A,Aluminum alloy,AA7075,7075TiC,GTAW,180,,,Ar,,,,,,0.115,,manifest,13.140293578466443,,,,,,,2.1,,,,,,,1.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7FT7SL7_11,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7FT7SL7_11.xml
10_2025_TMW__B7FT7SL6_10,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7FT7SL6_10.csv,2025-10-24,AA7075_7075TiC_180A,Aluminum alloy,AA7075,7075TiC,GTAW,180,,,Ar,,,,,,0.12,,manifest,12.24102754394023,,,,,,,2.1,,,,,,,1.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7FT7SL6_10,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7FT7SL6_10.xml
10_2025_TMW__B7FT7SL5_9,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7FT7SL5_9.csv,2025-10-24,AA7075_7075TiC_180A,Aluminum alloy,AA7075,7075TiC,GTAW,180,,,Ar,,,,,,0.13,,manifest,11.56817872541827,,,,,,,2.1,,,,,,,1.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7FT7SL5_9,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7FT7SL5_9.xml
10_2025_TMW__B7F5SL3_4,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7F5SL3_4.csv,2025-10-26,AA7075_ER5356_180A,Aluminum alloy,AA7075,ER5356,GTAW,180,,,Ar,,,,,,0.07,,manifest,11.562044419875127,,,,,,,2.1,,,,,,,0.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7F5SL3_4,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F5SL3_4.xml
10_2025_TMW__B7F5SL4_5,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7F5SL4_5.csv,2025-10-26,AA7075_ER5356_180A,Aluminum alloy,AA7075,ER5356,GTAW,180,,,Ar,,,,,,0.09,,manifest,11.678782417861033,,,,,,,2.1,,,,,,,0.066,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7F5SL4_5,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F5SL4_5.xml
10_2025_TMW__B7F5SL5_6,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7F5SL5_6.csv,2025-10-26,AA7075_ER5356_180A,Aluminum alloy,AA7075,ER5356,GTAW,180,,,Ar,,,,,,0.1,,manifest,12.149730676053588,,,,,,,2.1,,,,,,,0.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7F5SL5_6,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F5SL5_6.xml
10_2025_TMW__B7F5SL6_7,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7F5SL6_7.csv,2025-10-26,AA7075_ER5356_180A,Aluminum alloy,AA7075,ER5356,GTAW,180,,,Ar,,,,,,0.12,,manifest,10.74698954742781,,,,,,,2.1,,,,,,,0.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7F5SL6_7,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F5SL6_7.xml
